,Date Produced,Title,Claims
0,2022-09-21,Pet treat,"['The ornamental design for a pet treat, as shown and described.']"
1,2022-09-21,Confection,"['The ornamental design for a confection, as shown and described.']"
2,2022-09-20,Fashion accessory,"['The ornamental design for a fashion accessory, as shown and described.']"
3,2022-09-21,Telescopic shoe horn,"['The ornamental design for a telescopic shoe horn, as shown and described.']"
4,2022-09-21,Underwear,"['The ornamental design for underwear, substantially as shown and described.']"
5,2022-09-21,Jersey,"['The ornamental design for a jersey, as shown and described.']"
6,2022-09-20,Woman sexy nightdress,"['The ornamental design for a woman sexy nightdress, as shown and described.']"
7,2022-09-20,Weighted robe,"['The ornamental design for a weighted robe, as shown and described.']"
8,2022-09-20,High neck shoulder wrap,"['The ornamental design for a high neck shoulder wrap, as shown and described.']"
9,2022-09-21,Upper body outer garment with two front side pockets,"['The ornamental design for an upper body outer garment with two front side pockets, as shown and described.']"
10,2022-09-21,Gel hat,"['The ornamental design for a gel hat, as shown and described.']"
11,2022-09-21,Shoe for water sports,"['The ornamental design for a shoe for water sports, as shown and described.']"
12,2022-09-21,Shoe,"['The ornamental design for a shoe, as shown and described.']"
13,2022-09-21,Sock,"['The ornamental design for a sock, as shown and described.']"
14,2022-09-21,Medication case,"['The ornamental design for a medication case, as shown and described.']"
15,2022-09-21,Backpack,"['The ornamental design for a backpack, as shown and described.']"
16,2022-09-21,Release holster apparatus,"['We claim the ornamental design for the release holster apparatus, as shown and described.']"
17,2022-09-21,Storage container for contact lens,"['I claim, the ornamental design for a storage container for contact lens, as shown and described.']"
18,2022-09-20,Case with earphones,"['The ornamental design for a case with earphones, as shown and described.']"
19,2022-09-21,Luggage,"['The ornamental design for a luggage, substantially as shown and described.']"
20,2022-09-21,Duffel bag,"['The ornamental design for a duffel bag, as shown and described.']"
21,2022-09-21,Box,"['The ornamental design for a box, as shown and described.']"
22,2022-09-21,Storage box with removable lid,"['The ornamental design for a storage box with removable lid, as shown and described.']"
23,2022-09-21,Cornhole bag carrier,"['The ornamental design for a cornhole bag carrier, as shown and described.']"
24,2022-09-21,Portions of a container,"['The ornamental design for portions of a container, as shown and described.']"
25,2022-09-20,Lock,"['The ornamental design for a lock, as shown and described.']"
26,2022-09-21,Toothbrush,"['The ornamental design for a toothbrush, as shown and described.']"
27,2022-09-21,Combined grill brush and scraper,"['The ornamental design for a combined grill brush and scraper, as shown and described.']"
28,2022-09-21,Paint roller,"['The ornamental design for a paint roller, as shown and described.']"
29,2022-09-20,Bath brush,"['The ornamental design for a bath brush, as shown and described.']"
30,2022-09-21,Patterned reflective material,"['The ornamental design for a patterned reflective material, as shown and described.']"
31,2022-09-21,Sterile wrap,"['The ornamental design for a sterile wrap, as shown and described.']"
32,2022-09-21,Digital frame,"['The ornamental design for a digital frame, as shown and described.']"
33,2022-09-20,Hat holder,"['The ornamental design for a hat holder, as shown and described.']"
34,2022-09-21,Carry cot,"['The ornamental design for a carry cot, as shown and described.']"
35,2022-09-21,Chair,"['The ornamental design for a chair, as shown and described.']"
36,2022-09-21,Seat shelter,"['The ornamental design for a seat shelter, as shown and described.']"
37,2022-09-21,Seat for means of transport,"['The ornamental design for a seat for means of transport, as shown and described.']"
38,2022-09-21,Folding shower seat,"['The ornamental design for a folding shower seat, as shown and described.']"
39,2022-09-21,Bicycle seat,"['The ornamental design for a bicycle seat, as shown and described.']"
40,2022-09-21,Inflatable sofa bed,"['The ornamental design for an inflatable sofa bed, as shown and described.']"
41,2022-09-21,Lounge chair,"['The ornamental design for a lounge chair, as shown and described.']"
42,2022-09-21,Organizer box,"['The ornamental design for a organizer box, as shown and described.']"
43,2022-09-21,Paper towel holder,"['The ornamental design for a paper towel holder, as shown and described.']"
44,2022-09-21,Bathroom rack,"['The ornamental design for a bathroom rack, as shown and described.']"
45,2022-09-21,Multifunctional tissue holder,"['The ornamental design for a multifunctional tissue holder, as shown and described.']"
46,2022-09-20,Storage rack,"['The ornamental design for a storage rack, as shown and described.']"
47,2022-09-20,Orthopedic pillow for sleeping,"['The ornamental design for an orthopedic pillow for sleeping, as shown and described.']"
48,2022-09-21,Cushion material,"['The ornamental design for a cushion material, as shown and described.']"
49,2022-09-21,Moveable storage table,"['I claim the ornamental design for a moveable storage table, as shown and described.']"
50,2022-09-20,Standing desk,"['The ornamental design for a standing desk, as shown and described.']"
51,2022-09-21,Desk,"['The ornamental design for a desk, as shown and described.']"
52,2022-09-21,Electric desk,"['The ornamental design for a electric desk, as shown and described.']"
53,2022-09-21,Movable storage table,"['I claim the ornamental design for a movable storage table, as shown and described.']"
54,2022-09-21,Towel rack,"['The ornamental design for a towel rack, as shown and described.']"
55,2022-09-21,Side table,"['The ornamental design for a side table, as shown and described.']"
56,2022-09-21,End table,"['The ornamental design for a end table, as shown and described.']"
57,2022-09-21,Table,"['I claim the ornamental design for a table, as shown and described.']"
58,2022-09-20,Combinrd microphone and phone holder for music sheet stand,"['The ornamental design for a combined microphone and phone holder for music sheet stand, as shown and described.']"
59,2022-09-21,Wall transmissive display for airplane seat unit,"['We claim the ornamental design for a a wall transmissive display for airplane seat unit, as shown and described.']"
60,2022-09-21,Screen,"['The ornamental design for a screen, as shown and described.']"
61,2022-09-20,Armrest,"['The ornamental design for an armrest, as shown and described.']"
62,2022-09-20,Appliance for preparing and dispensing foamed fluid food,"['The ornamental design for an appliance for preparing and dispensing foamed fluid food, as shown and described.']"
63,2022-09-21,Coffee machine,"['I claim the ornamental design for a coffee machine, as shown and described.']"
64,2022-09-20,Teapot,"['The ornamental design for a teapot, as shown and described.']"
65,2022-09-21,Barbecue grill,"['The ornamental design for a barbecue grill, as shown and described.']"
66,2022-09-21,Coffee grinder,"['The ornamental design for a coffee grinder, as shown and described.']"
67,2022-09-21,Screw shaft element,"['The ornamental design for a screw shaft element, as shown and described.']"
68,2022-09-21,Milk frother,"['The ornamental design for a milk frother, as shown and described.']"
69,2022-09-21,Slicer,"['The ornamental design for a slicer, as shown and described.']"
70,2022-09-21,Lid for food storage container,"['The ornamental design for the lid for food storage container, as shown and described.']"
71,2022-09-20,Drip tray,"['I claim the ornamental design for a drip tray, as shown and described.']"
72,2022-09-21,Flip lid tumbler,"['The ornamental design for a flip lid tumbler, as shown and described.']"
73,2022-09-21,Rustic serving tray,"['The ornamental design for a rustic serving tray, as shown and described.']"
74,2022-09-21,Pouch holder,"['The ornamental design for a pouch holder, as shown and described.']"
75,2022-09-21,Water bottle pouch,"['The ornamental design for a water bottle pouch, as shown and described.']"
76,2022-09-21,Food container,"['The ornamental design for a food container, as shown and described.']"
77,2022-09-21,Silverware organizer,"['The ornamental design for a silverware organizer, as shown and described.']"
78,2022-09-21,Knife handle,"['The ornamental design for a knife handle, as shown and described.']"
79,2022-09-21,Knife for table use,"['The ornamental design for a knife for table use, as shown and described.']"
80,2022-09-21,Spoon,"['The ornamental design for a spoon, as shown and described.']"
81,2022-09-21,Fork,"['The ornamental design for a fork, as shown and described.']"
82,2022-09-21,Juicer,"['The ornamental design for a juicer, as shown and described.']"
83,2022-09-21,Food stuffer,"['The ornamental design for a food stuffer, as shown and described.']"
84,2022-09-21,Steak weight,"['The ornamental design for a steak weight, as shown and described.']"
85,2022-09-21,Grinder apparatus,"['We claim the ornamental design for the grinder apparatus, as shown and described.']"
86,2022-09-21,Ice cream scoop,"['The ornamental design for an ice cream scoop, as shown and described.']"
87,2022-09-21,Mashing tool,"['The ornamental design for a mashing tool, as shown and described.']"
88,2022-09-21,Salad cutter,"['The ornamental design for a salad cutter, as shown and described.']"
89,2022-09-21,Holder for bartending set,"['The ornamental design for a holder for bartending set, as shown and described.']"
90,2022-09-21,Wine glass tray,"['The ornamental design for a wine glass tray, as shown and described.']"
91,2022-09-21,Cordless string trimmer,"['The ornamental design for a cordless string trimmer, as shown and described.']"
92,2022-09-21,Weed removal tool,"['The ornamental design for a weed removal tool, as shown and described.']"
93,2022-09-20,Railroad brake stick,"['The ornamental design for a railroad brake stick, as shown and described.']"
94,2022-09-21,Skateboard tool,"['The ornamental design for a skateboard tool, as shown and described.']"
95,2022-09-20,Socket,"['The ornamental design for a socket, as shown and described.']"
96,2022-09-20,Felling wedge,"['The ornamental design for a felling wedge, as shown and described.']"
97,2022-09-21,Pliers,"['The ornamental design for pliers, as shown and described.']"
98,2022-09-20,Sand blasting gun,"['The ornamental design for a sand blasting gun, as shown and described.']"
